Date,Year,Month,Season,ONI,NINO 1+2 SST,NINO 1+2 SST Anomalies,NINO 3 SST,NINO 3 SST Anomalies,NINO 3.4 SST,NINO 3.4 SST Anomalies,NINO 4 SST,NINO 4 SST Anomalies,OLR,TNI,PNA,Precipitation (mm/day),SOI
1963-12-01,1963,DEC,NDJ 1963,1.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.273,1.46,NAN,-1.2
1964-01-01,1964,JAN,DJF 1964,1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.342,-0.44,NAN,-0.4
1964-02-01,1964,FEB,JFM 1964,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.304,1.36,NAN,0.0
1964-03-01,1964,MAR,FMA 1964,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.543,-1.31,NAN,1.1
1964-04-01,1964,APR,MAM 1964,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.424,-1.30,NAN,1.1
1964-05-01,1964,MAY,AMJ 1964,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.178,-2.27,NAN,0.2
1964-06-01,1964,JUN,MJJ 1964,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.993,0.27,NAN,0.8
1964-07-01,1964,JUL,JJA 1964,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.526,0.20,NAN,0.6
1964-08-01,1964,AUG,JAS 1964,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.019,0.83,NAN,1.5
1964-09-01,1964,SEP,ASO 1964,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.473,0.92,NAN,1.3
1964-10-01,1964,OCT,SON 1964,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.781,0.80,NAN,1.3
1964-11-01,1964,NOV,OND 1964,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.909,-0.78,NAN,0.2
1964-12-01,1964,DEC,NDJ 1964,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.879,-2.03,NAN,-0.3
1965-01-01,1965,JAN,DJF 1965,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.119,-0.92,NAN,-0.4
1965-02-01,1965,FEB,JFM 1965,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.393,-1.03,NAN,0.4
1965-03-01,1965,MAR,FMA 1965,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.838,-0.80,NAN,0.8
1965-04-01,1965,APR,MAM 1965,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.175,-1.07,NAN,-0.5
1965-05-01,1965,MAY,AMJ 1965,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.209,-0.42,NAN,0.2
1965-06-01,1965,JUN,MJJ 1965,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.019,1.89,NAN,-0.6
1965-07-01,1965,JUL,JJA 1965,1.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.484,-1.26,NAN,-1.8
1965-08-01,1965,AUG,JAS 1965,1.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.758,0.32,NAN,-0.7
1965-09-01,1965,SEP,ASO 1965,1.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.214,0.36,NAN,-1.3
1965-10-01,1965,OCT,SON 1965,2.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.107,1.42,NAN,-0.9
1965-11-01,1965,NOV,OND 1965,2.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.336,-0.81,NAN,-1.5
1965-12-01,1965,DEC,NDJ 1965,1.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.560,-1.56,NAN,0.2
1966-01-01,1966,JAN,DJF 1966,1.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.127,-0.15,NAN,-1.3
1966-02-01,1966,FEB,JFM 1966,1.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.485,-2.05,NAN,-0.2
1966-03-01,1966,MAR,FMA 1966,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.806,0.43,NAN,-0.9
1966-04-01,1966,APR,MAM 1966,0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-2.177,-0.54,NAN,-0.2
1966-05-01,1966,MAY,AMJ 1966,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-2.362,-0.15,NAN,-0.4
1966-06-01,1966,JUN,MJJ 1966,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-2.009,0.10,NAN,0.3
1966-07-01,1966,JUL,JJA 1966,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.867,-1.18,NAN,0.1
1966-08-01,1966,AUG,JAS 1966,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.699,1.26,NAN,0.6
1966-09-01,1966,SEP,ASO 1966,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.408,0.63,NAN,-0.2
1966-10-01,1966,OCT,SON 1966,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.178,-0.61,NAN,-0.1
1966-11-01,1966,NOV,OND 1966,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.774,-1.96,NAN,0.0
1966-12-01,1966,DEC,NDJ 1966,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.224,-0.21,NAN,-0.3
1967-01-01,1967,JAN,DJF 1967,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.079,-1.16,NAN,1.7
1967-02-01,1967,FEB,JFM 1967,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.022,-0.20,NAN,1.7
1967-03-01,1967,MAR,FMA 1967,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.140,-2.25,NAN,1.2
1967-04-01,1967,APR,MAM 1967,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.461,-1.91,NAN,0.0
1967-05-01,1967,MAY,AMJ 1967,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.974,-0.80,NAN,0.0
1967-06-01,1967,JUN,MJJ 1967,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.254,-0.33,NAN,0.6
1967-07-01,1967,JUL,JJA 1967,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.449,-1.24,NAN,0.2
1967-08-01,1967,AUG,JAS 1967,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.543,-0.35,NAN,0.7
1967-09-01,1967,SEP,ASO 1967,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.674,0.11,NAN,0.5
1967-10-01,1967,OCT,SON 1967,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.722,1.10,NAN,0.1
1967-11-01,1967,NOV,OND 1967,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.619,-0.35,NAN,-0.4
1967-12-01,1967,DEC,NDJ 1967,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.545,-1.12,NAN,-0.6
1968-01-01,1968,JAN,DJF 1968,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.335,-1.78,NAN,0.5
1968-02-01,1968,FEB,JFM 1968,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.172,1.11,NAN,1.3
1968-03-01,1968,MAR,FMA 1968,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.108,0.13,NAN,0.1
1968-04-01,1968,APR,MAM 1968,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.245,-1.11,NAN,0.0
1968-05-01,1968,MAY,AMJ 1968,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.197,0.23,NAN,1.2
1968-06-01,1968,JUN,MJJ 1968,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.070,-0.08,NAN,1.1
1968-07-01,1968,JUL,JJA 1968,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.690,-0.04,NAN,0.7
1968-08-01,1968,AUG,JAS 1968,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.534,1.30,NAN,0.3
1968-09-01,1968,SEP,ASO 1968,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.441,-0.87,NAN,-0.3
1968-10-01,1968,OCT,SON 1968,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.398,0.45,NAN,-0.1
1968-11-01,1968,NOV,OND 1968,0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.785,0.83,NAN,-0.3
1968-12-01,1968,DEC,NDJ 1968,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.508,-1.74,NAN,0.2
1969-01-01,1969,JAN,DJF 1969,1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.509,-2.96,NAN,-1.5
1969-02-01,1969,FEB,JFM 1969,1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.156,-1.97,NAN,-0.5
1969-03-01,1969,MAR,FMA 1969,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.713,0.47,NAN,0.4
1969-04-01,1969,APR,MAM 1969,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.053,0.48,NAN,-0.4
1969-05-01,1969,MAY,AMJ 1969,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.623,1.02,NAN,-0.2
1969-06-01,1969,JUN,MJJ 1969,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.491,2.11,NAN,0.2
1969-07-01,1969,JUL,JJA 1969,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.191,0.51,NAN,-0.5
1969-08-01,1969,AUG,JAS 1969,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.100,-0.69,NAN,-0.1
1969-09-01,1969,SEP,ASO 1969,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.463,1.31,NAN,-1.0
1969-10-01,1969,OCT,SON 1969,0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.500,0.55,NAN,-0.9
1969-11-01,1969,NOV,OND 1969,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.302,0.13,NAN,-0.1
1969-12-01,1969,DEC,NDJ 1969,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.348,1.53,NAN,0.4
1970-01-01,1970,JAN,DJF 1970,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.773,0.12,NAN,-1.1
1970-02-01,1970,FEB,JFM 1970,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.024,1.01,NAN,-1.0
1970-03-01,1970,MAR,FMA 1970,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.386,0.49,NAN,0.6
1970-04-01,1970,APR,MAM 1970,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.722,-0.66,NAN,-0.1
1970-05-01,1970,MAY,AMJ 1970,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.993,-0.50,NAN,0.4
1970-06-01,1970,JUN,MJJ 1970,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.865,0.23,NAN,1.0
1970-07-01,1970,JUL,JJA 1970,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.723,0.74,NAN,-0.4
1970-08-01,1970,AUG,JAS 1970,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.283,-0.60,NAN,0.6
1970-09-01,1970,SEP,ASO 1970,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.958,-0.39,NAN,1.2
1970-10-01,1970,OCT,SON 1970,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.276,-0.95,NAN,1.0
1970-11-01,1970,NOV,OND 1970,-0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.231,-1.15,NAN,1.6
1970-12-01,1970,DEC,NDJ 1970,-1.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.454,-1.09,NAN,1.9
1971-01-01,1971,JAN,DJF 1971,-1.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.566,-2.43,NAN,0.4
1971-02-01,1971,FEB,JFM 1971,-1.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.862,-0.16,NAN,2.0
1971-03-01,1971,MAR,FMA 1971,-1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.691,-0.28,NAN,2.3
1971-04-01,1971,APR,MAM 1971,-0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.400,0.23,NAN,1.7
1971-05-01,1971,MAY,AMJ 1971,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.397,1.09,NAN,0.9
1971-06-01,1971,JUN,MJJ 1971,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.211,0.51,NAN,0.4
1971-07-01,1971,JUL,JJA 1971,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.100,-1.74,NAN,0.2
1971-08-01,1971,AUG,JAS 1971,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.097,-0.81,NAN,1.5
1971-09-01,1971,SEP,ASO 1971,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.145,0.15,NAN,1.4
1971-10-01,1971,OCT,SON 1971,-0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.087,-1.35,NAN,1.7
1971-11-01,1971,NOV,OND 1971,-1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.221,-0.26,NAN,0.5
1971-12-01,1971,DEC,NDJ 1971,-0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.259,-1.76,NAN,0.3
1972-01-01,1972,JAN,DJF 1972,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.447,-2.46,NAN,0.5
1972-02-01,1972,FEB,JFM 1972,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.575,-2.27,NAN,1.1
1972-03-01,1972,MAR,FMA 1972,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.661,-0.10,NAN,0.6
1972-04-01,1972,APR,MAM 1972,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.851,-1.95,NAN,-0.1
1972-05-01,1972,MAY,AMJ 1972,0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.134,0.21,NAN,-1.6
1972-06-01,1972,JUN,MJJ 1972,0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.520,-0.15,NAN,-0.5
1972-07-01,1972,JUL,JJA 1972,1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.659,-1.13,NAN,-1.4
1972-08-01,1972,AUG,JAS 1972,1.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.642,-0.04,NAN,-0.5
1972-09-01,1972,SEP,ASO 1972,1.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.481,0.13,NAN,-1.4
1972-10-01,1972,OCT,SON 1972,1.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.186,-1.49,NAN,-0.9
1972-11-01,1972,NOV,OND 1972,2.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.600,0.53,NAN,-0.3
1972-12-01,1972,DEC,NDJ 1972,2.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.122,-0.86,NAN,-1.3
1973-01-01,1973,JAN,DJF 1973,1.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.294,-0.88,NAN,-0.3
1973-02-01,1973,FEB,JFM 1973,1.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.675,-0.14,NAN,-1.4
1973-03-01,1973,MAR,FMA 1973,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.108,0.53,NAN,0.7
1973-04-01,1973,APR,MAM 1973,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.220,0.11,NAN,0.1
1973-05-01,1973,MAY,AMJ 1973,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.119,0.67,NAN,0.4
1973-06-01,1973,JUN,MJJ 1973,-0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.855,1.01,NAN,1.1
1973-07-01,1973,JUL,JJA 1973,-1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.561,-0.26,NAN,0.6
1973-08-01,1973,AUG,JAS 1973,-1.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.038,-0.95,NAN,1.3
1973-09-01,1973,SEP,ASO 1973,-1.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.501,-0.27,NAN,1.2
1973-10-01,1973,OCT,SON 1973,-1.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.149,-0.74,NAN,0.8
1973-11-01,1973,NOV,OND 1973,-2.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.717,-1.66,NAN,2.6
1973-12-01,1973,DEC,NDJ 1973,-2.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.970,0.23,NAN,1.8
1974-01-01,1974,JAN,DJF 1974,-1.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.145,-1.54,NAN,2.4
1974-02-01,1974,FEB,JFM 1974,-1.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.129,-1.50,NAN,2.1
1974-03-01,1974,MAR,FMA 1974,-1.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.962,-1.10,NAN,2.4
1974-04-01,1974,APR,MAM 1974,-1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.728,-0.73,NAN,0.9
1974-05-01,1974,MAY,AMJ 1974,-0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.702,-0.40,NAN,1.0
1974-06-01,1974,JUN,MJJ 1974,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.1,1.502,-1.36,NAN,0.4
1974-07-01,1974,JUL,JJA 1974,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.0,1.229,-0.09,NAN,1.1
1974-08-01,1974,AUG,JAS 1974,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0,0.890,0.90,NAN,0.8
1974-09-01,1974,SEP,ASO 1974,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.9,0.825,0.35,NAN,1.1
1974-10-01,1974,OCT,SON 1974,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.1,0.636,0.93,NAN,0.9
1974-11-01,1974,NOV,OND 1974,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0,0.479,0.53,NAN,-0.1
1974-12-01,1974,DEC,NDJ 1974,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.1,0.361,0.38,NAN,0.2
1975-01-01,1975,JAN,DJF 1975,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.2,0.600,-1.20,NAN,-0.5
1975-02-01,1975,FEB,JFM 1975,-0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.1,0.749,-0.51,NAN,0.8
1975-03-01,1975,MAR,FMA 1975,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.1,0.855,-0.81,NAN,1.6
1975-04-01,1975,APR,MAM 1975,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.7,0.949,-0.67,NAN,1.2
1975-05-01,1975,MAY,AMJ 1975,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.4,1.337,0.60,NAN,0.6
1975-06-01,1975,JUN,MJJ 1975,-1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0,1.461,-0.31,NAN,1.3
1975-07-01,1975,JUL,JJA 1975,-1.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.2,1.503,-1.53,NAN,1.9
1975-08-01,1975,AUG,JAS 1975,-1.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.4,1.734,-1.10,NAN,2.0
1975-09-01,1975,SEP,ASO 1975,-1.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.3,1.933,-0.23,NAN,2.1
1975-10-01,1975,OCT,SON 1975,-1.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.4,1.983,-0.65,NAN,1.7
1975-11-01,1975,NOV,OND 1975,-1.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.3,1.946,-0.63,NAN,1.2
1975-12-01,1975,DEC,NDJ 1975,-1.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.9,1.908,-0.16,NAN,2.1
1976-01-01,1976,JAN,DJF 1976,-1.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.1,1.725,-0.25,NAN,1.4
1976-02-01,1976,FEB,JFM 1976,-1.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.2,1.727,-2.38,NAN,1.7
1976-03-01,1976,MAR,FMA 1976,-0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.3,1.697,-1.78,NAN,1.7
1976-04-01,1976,APR,MAM 1976,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.7,1.813,0.92,NAN,0.3
1976-05-01,1976,MAY,AMJ 1976,-0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.4,2.058,0.58,NAN,0.4
1976-06-01,1976,JUN,MJJ 1976,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.4,2.354,-1.32,NAN,0.3
1976-07-01,1976,JUL,JJA 1976,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.5,2.206,-0.12,NAN,-0.9
1976-08-01,1976,AUG,JAS 1976,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.6,1.881,-0.62,NAN,-0.8
1976-09-01,1976,SEP,ASO 1976,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.3,1.352,-0.04,NAN,-1.1
1976-10-01,1976,OCT,SON 1976,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.5,0.809,0.91,NAN,0.4
1976-11-01,1976,NOV,OND 1976,0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.2,0.303,1.72,NAN,0.7
1976-12-01,1976,DEC,NDJ 1976,0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.8,0.066,0.21,NAN,-0.3
